Post_ID,Post_Code,Owner_ID,Likes,Time_Stamp,Tags,Caption
2768488855306978330,CZrpfIhM0Qa,51251771394,4,1644249611,"['#mountains', '#appalachiantrail', '#atthruhike', '#maine', '#southernmaine', '#sobo2018', '#southbound', '#canon➕goldilocks', '#atclassof2018', '#at', '#MainetoGeorgia', '#hikertrash', '#hike', '#AT2018', '#sobo', '#thruhiker']","Yes, we're heading over all those #mountains, plus a lot more.<br>...<br>#appalachiantrail #atthruhike #maine #southernmaine #sobo2018 #southbound #canon➕goldilocks #atclassof2018 #at #MainetoGeorgia #hikertrash #hike #AT2018 #sobo #thruhiker"
2768001113695454837,CZp6ljvtAZ1,51251771394,8,1644191467,"['#hiking', '#thruhike', '#AppalachianTrail', '#noregrats', '#thefamilywhohikestogetherstaystogether', '#dowhatyoulove', '#accomplishyourdreams', '#sobo', '#thruhiker', '#canon➕goldilocks', '#southbound', '#atclassof2018', '#at', '#MainetoGeorgia', '#atthruhike', '#hikertrash', '#sobo2018', '#AT2018', '#hike']","Who's your favorite #hiking partner? The one who will encourage you to keep going when you feel like you can't? The one who will wait for you so you can reach the summit and be rewarded with a view together? I'd #thruhike the entire #AppalachianTrail again, but only with this hiking partner by my side. <br>...<br>#noregrats #thefamilywhohikestogetherstaystogether #dowhatyoulove #accomplishyourdreams #sobo #thruhiker #canon➕goldilocks #southbound #atclassof2018 #at #MainetoGeorgia #atthruhike #hikertrash #sobo2018 #AT2018 #hike"
2767039335855755220,CZmf52VNw_U,51251771394,15,1644076815,"['#southernmaine', '#leavenotrace', '#sobo', '#optoutside', '#thruhiker', '#whiteblaze', '#canon➕goldilocks', '#southbound', '#atclassof2018', '#at', '#MainetoGeorgia', '#atthruhike', '#hikertrash', '#sobo2018', '#thegreatoutdoors', '#hike', '#AT2018', '#appalachiantrail']",Views of #southernmaine <br>...<br>#leavenotrace #sobo #optoutside #thruhiker #whiteblaze #canon➕goldilocks #southbound #atclassof2018 #at #MainetoGeorgia #atthruhike #hikertrash #sobo2018 #thegreatoutdoors #hike #AT2018 #appalachiantrail
2766435314329561328,CZkWkLctajw,51251771394,21,1644004810,"['#solitude', '#Maine', '#appalachiantrail', '#thruhiker', '#southbound', '#sobo', '#atthruhike', '#optoutside', '#whiteblaze', '#canon➕goldilocks', '#atclassof2018', '#at', '#MainetoGeorgia', '#hikertrash', '#sobo2018', '#thegreatoutdoors', '#hike', '#AT2018']",#solitude #Maine #appalachiantrail #thruhiker #southbound #sobo #atthruhike #optoutside #whiteblaze #canon➕goldilocks #atclassof2018 #at #MainetoGeorgia #hikertrash #sobo2018 #thegreatoutdoors #hike #AT2018
2765650123524825473,CZhkCJhtmGB,51251771394,30,1643911208,"['#nothelpful', '#withoutguthook', '#southbound', '#sobo', '#thruhiker', '#appalachiantrail', '#optoutside', '#whiteblaze', '#canon➕goldilocks', '#atclassof2018', '#at', '#MainetoGeorgia', '#atthruhike', '#hikertrash', '#sobo2018', '#hike', '#AT2018']","Goldilocks' face says it all, ""only"" 2,021.1 miles to go...<br>#nothelpful #withoutguthook #southbound #sobo #thruhiker #appalachiantrail #optoutside #whiteblaze #canon➕goldilocks #atclassof2018 #at #MainetoGeorgia #atthruhike #hikertrash #sobo2018 #hike #AT2018"
2764998221870794309,CZfPzuzMgZF,51251771394,11,1643833495,"['#Dream', '#impossible', '#reachforthestars', '#livingthedream', '#sobo', '#optoutside', '#thruhiker', '#whiteblaze', '#canon➕goldilocks', '#southbound', '#atclassof2018', '#at', '#MainetoGeorgia', '#atthruhike', '#hikertrash', '#sobo2018', '#thegreatoutdoors', '#hike', '#AT2018', '#appalachiantrail', '#hikemore']","#Dream the #impossible, and then make it possible.<br>...<br>#reachforthestars #livingthedream #sobo #optoutside #thruhiker #whiteblaze #canon➕goldilocks #southbound #atclassof2018 #at #MainetoGeorgia #atthruhike #hikertrash #sobo2018 #thegreatoutdoors #hike #AT2018 #appalachiantrail #hikemore"
2764179426872889694,CZcVosiM5Fe,1920891377,37,1643735887,"['#favoritepart', '#Vinciguerra', '#Glacier', '#hike', '#breathtaking', '#glacial', '#lagoon', '#ice', '#bestview', '#lessonlearned', '#southbound', '#thruhike', '#AppalachianTrail', '#MainetoGeorgia', '#notawalkinthewoods', '#ATClassof2018', '#SOBO', '#thruhiker', '#thoughtoftheday', '#nature', '#outdoors', '#exploremore', '#landscapephotography', '#hikingadventures', '#travel', '#exploremore', '#optoutside', '#lovearoundtheworld', '#agapevisuals']","It's hard to say what our #favoritepart of #Vinciguerra #Glacier was, but it might be the #hike AFTER reaching the #breathtaking #glacial #lagoon. We scrambled over rocks, on and under #ice and had the #bestview back toward the direction we came. This is a #lessonlearned from our #southbound #thruhike of the #AppalachianTrail from #MainetoGeorgia: don't forget to look back to see how far you've come. <br>...<br>@not_a_walk_in_the_woods #notawalkinthewoods #ATClassof2018 #SOBO #thruhiker #thoughtoftheday #nature #outdoors #exploremore #landscapephotography #hikingadventures #travel #exploremore #optoutside #lovearoundtheworld #agapevisuals"
2761282363167890855,CZSC63tLF2n,51251771394,12,1643390530,"['#AppalachianTrail', '#hike', '#ATthruhikers', '#rivers', '#canoe', '#KennebecRiver', '#Caratunk', '#AT', '#ferry', '#river', '#AppalachianTrailConservancy', '#ATC', '#boat', '#thruhike', '#canon➕goldilocks', '#trailangels', '#notawalkinthewoods', '#mainetogeorgia', '#ATClassof2018', '#sobo', '#optoutside', '#southbound']","Did you know there's one 300-foot section of the #AppalachianTrail you can't #hike? #ATthruhikers ford plenty of streams and #rivers, but only one demands you get in a #canoe. The #KennebecRiver in #Caratunk, Maine has a massive hydroelectric dam and each day releases a wall of water—sometimes as much as 8,000 cubic feet per second, making it very dangerous. That's where Greg Caruso offers the #AT's only #ferry service to cross a #river. “Purists want to walk every inch of the trail,” says Hawk Metheny, New England Regional Director of the #AppalachianTrailConservancy (#ATC).. “So we designated the canoe as an official part of the AT.” Today, Caruso’s #boat is the only approved way to cross the river—and to complete a #thruhike. <br><br>#canon➕goldilocks #trailangels #notawalkinthewoods #mainetogeorgia  #ATClassof2018 #sobo #optoutside #southbound"
2760636581104019803,CZPwFgSp2lb,51251771394,34,1643313547,"['#trailmaintenance', '#hardwork', '#hikers', '#trails', '#canon➕goldilocks', '#trailangels', '#thegreatoutdoors', '#thruhike', '#atthruhike', '#atclassof2018', '#southbound', '#sobo', '#appalachiantrail', '#notawalkinthewoods', '#optoutside', '#whiteblaze', '#at', '#MainetoGeorgia']","To all the #trailmaintenance crews out there, THANK YOU! Your #hardwork makes it possible for #hikers like us to access and enjoy the #trails we love.<br>---<br>#canon➕goldilocks #trailangels #thegreatoutdoors #thruhike #atthruhike #atclassof2018 #southbound #sobo #appalachiantrail #notawalkinthewoods #optoutside #whiteblaze #at #MainetoGeorgia"
2760063318733381877,CZNtvcGsGD1,51251771394,7,1643245209,"['#Psalm121', '#mountains—', '#heaven', '#earth', '#strength', '#summit', '#canon➕goldilocks', '#southbound', '#atclassof2018', '#at', '#MainetoGeorgia', '#atthruhike', '#hikertrash', '#sobo2018', '#hike', '#appalachiantrail', '#whiteblaze', '#sobo', '#optoutside', '#thruhiker', '#AT2018', '#thegreatoutdoors', '#notawalkinthewoods']","When I struggled on uphill climbs, I recited #Psalm121: ""I lift up my eyes to the #mountains— where does my help come from? My help comes from the LORD, the Maker of #heaven and #earth."" That's when I'd find the #strength to reach the #summit.<br>...<br>#canon➕goldilocks #southbound #atclassof2018 #at #MainetoGeorgia #atthruhike #hikertrash #sobo2018 #hike #appalachiantrail #whiteblaze #sobo #optoutside #thruhiker #AT2018 #thegreatoutdoors #notawalkinthewoods"
