Post_ID,Post_Code,Owner_ID,Likes,Time_Stamp,Tags,Caption
2669675150868094619,CUMl2e5Lh6b,4108798594,60,1632470099,"['#atnobo2018', '#almostvacation', '#thruhikers', '#hikerlife', '#hikersofinstagram', '#coupleswhohike', '#coupleswhohiketogetherstaytogether', '#at2018thruhike', '#appalachiantrail', '#georgiatomaine', '#maine', '#mountainsarecalling']",I cannot wait to spend some more time in the woods with this handsome man soon. 😍 Our trip to the Upper Peninsula can’t come soon enough!<br>•<br>I miss that thru-hiker beard tho 🥲 <br>•<br>This photo was taken two weeks before summiting Mt. Katahdin and completing our first thru-hike together! 🥰 #atnobo2018 <br>•<br>#almostvacation #thruhikers #hikerlife #hikersofinstagram #coupleswhohike #coupleswhohiketogetherstaytogether #at2018thruhike #appalachiantrail #georgiatomaine #maine #mountainsarecalling
2625733644860157907,CRwetaYrm_T,1440402108,38,1627231864,"['#ATnobo2018', '#appalachiantrail', '#thruhiker']","Today is my 3 year Trail-versary! <br><br>It's a day that will always be special to me for the rest of my life. It's sort of like my second birthday. I guess because my experience out there in those mountains was very much like a re-birth for me. Sitting in the dirt, on a mountain, writing this, I realize some things don't change. I think about the trail every single damn day. It's a part of me. And to this day, I'm still uncovering little wisdom nuggets and changes within me that occurred out there.<br><br>I think about the man I was 4 years ago, about to depart on that journey. Neve, green, a head full of steam, eyes wide. I think about what I'd tell him. What he'd need to know of the joys and perils that lie ahead. How his life was about to be shattered wide open in a way that the original pieces would never quite fit back together the same. But then I stop...<br><br>...and I realize, I wouldn't give him that advice even if I could. Because rewatching him learn how to talk with his feet, and follow his heart into vast unknowns is far too valuable an experience, and overall, just extremely entertaining to watch.<br><br>I admit it has taken all of these 3 years to get to a place where I can smile, with all of myself, about the trail. It has been so much to unpack mentally. I want to thank ANYONE who has ever endured one of my trail stories. I know that I can get a bit ""this one time at band camp"" with the whole thing, but for real, it's been one of the best therapies for me. I have so many stories! It's most of what I have. And I treasure that.<br><br>Ya ya, lazy me. I still have a 195 GB of trail media content that has yet to materialize into what I envisioned. But my vision has evolved quite a bit by now. Still chewing on some ideas. I know there are people out there that would like to see what I have.<br><br>Anyway, Cheers! And if I can just tell you one thing today....<br><br>NEVER be afraid to scare the shit out of yourself and have big, beautiful goals. Things don't always go ""correctly"", but I promise you, if you are following your heart, it will work out in the most unexpected and beautiful ways ❤❤❤<br><br>As always, Your Friendly Neighborhood,<br><br>(((RIPPLE)))<br><br>#ATnobo2018 #appalachiantrail #thruhiker"
2615641818639716545,CRMoGAzrVDB,3531592,67,1626028824,"['#trailfamily', '#atnobo2018', '#craterlakecolorado', '#backpacking', '#getoutside']",I love these fellas and I love that we continue to make time for adventuring together! #trailfamily #atnobo2018 #craterlakecolorado #backpacking #getoutside
2492526448960939662,CKXO5lvlSaO,4108798594,68,1611352328,"['#atnobo2018', '#appalachiantrail', '#atfiretower', '#smokeymountains', '#coupleswhohike', '#hikersofinstagram', '#hikerlife', '#firetower', '#atnobo']","🔥 THE GREEN TUNNEL 🔥<br><br>With all the trees and rain it’s not always guaranteed that you’ll get a beautiful mountain view while hiking the Appalachian Trail. So whenever we came upon a fire tower, it was pure delight! <br>•<br>Throwback to April 1st, 2018! The first fire tower of the Smokey mountains, just north of Fontana Village. 😍 <br>•<br>#atnobo2018 #appalachiantrail #atfiretower #smokeymountains #coupleswhohike #hikersofinstagram #hikerlife #firetower #atnobo"
2464238123036950308,CIyu4RNl78k,44060749277,109,1607980097,['#girlswhobackpackUGLY'],#girlswhobackpackUGLY for @girls_who_backpack<br>My top ten (at least the one I've got. 100% there is a lot more on the internet!)<br>1- smashed face on pavement <br>2- Moskito kiss 💋<br>3 - dead feet <br>4 - Red skin<br>5 - Puffy morning face with Moskito bite <br>6 - Bathroom selfie (my best so far) 🚽<br>7 - birthday under the rain (do I look like a crazy person?!)<br>8 - sandy pouch<br>9 - bug bump 🐛<br>10 - black dot 🖤
2251668628439488072,B8_iLAOBtZI,8587002254,63,1582639839,"['#appalachiantrail', '#atnobo2018', '#atnobo', '#georgiatomaine', '#thruhike', '#throughhike', '#backpacking', '#hiking', '#hikertrash', '#hikerlife', '#adventure', '#explore', '#wander', '#wanderlust', '#longdistancehiking', '#hikingviews', '#hikingtime', '#idhikethat', '#thetrek', '#optoutside', '#whiteblaze', '#appalachianmountains', '#appalachian']",2 years ago today we rolled into Amicalola falls. Seems like yesterday...<br>.<br>.<br>.<br>.<br>#appalachiantrail #atnobo2018 #atnobo #georgiatomaine #thruhike #throughhike #backpacking #hiking #hikertrash #hikerlife #adventure #explore #wander #wanderlust #longdistancehiking #hikingviews #hikingtime #idhikethat #thetrek #optoutside #whiteblaze #appalachianmountains #appalachian_explorers
2200960142325946295,B6LYZaYIZe3,50024622,151,1576594916,"['#trektheAT', '#appalachiantrail', '#thetrek', '#georgiatomaine', '#atnobo2018', '#atthruhike', '#trekking', '#nopainnomaine', '#appalachiantrials', '#thruhike', '#at2018', '#hikertrash']",Freedom. 🖕🏼<br>•<br>•<br>•<br><br>#trektheAT #appalachiantrail #thetrek #georgiatomaine #atnobo2018 #atthruhike #trekking #nopainnomaine #appalachiantrials #thruhike #at2018 #hikertrash
2165631362539098974,B4N3kAOlpNe,4986481567,126,1572383397,"['#nationalwilderness', '#nationalwildernessareas', '#nationalforests', '#nationalforest', '#nationalwildernesses', '#AT2018', '#PCT2019', '#pctclassof2019', '#atclassof2018', '#pctsobo2019', '#pct2019sobo', '#atnobo2018', '#at2018nobo', '#glacierpeakwilderness', '#pasaytanwilderness', '#trinityalpswilderness', '#anseladamswilderness', '#norsepeakwilderness', '#bloodmountainwilderness', '#threesisterswilderness', '#mounthoodwilderness', '#mountadamswilderness', '#castlecragswilderness', '#buckslakewilderness', '#granitechiefwilderness', '#marblemountainwilderness', '#diamondpeakwilderness', '#mountthielsenwilderness', '#mountwashingtonwilderness', '#mokolumnewilderness']",Just a handful of the signs I’ve passed over the past 2 years. God bless our national wildernesses and forests. #nationalwilderness #nationalwildernessareas #nationalforests #nationalforest #nationalwildernesses #AT2018 #PCT2019 #pctclassof2019 #atclassof2018 #pctsobo2019 #pct2019sobo #atnobo2018 #at2018nobo #glacierpeakwilderness #pasaytanwilderness #trinityalpswilderness #anseladamswilderness #norsepeakwilderness #bloodmountainwilderness #threesisterswilderness #mounthoodwilderness #mountadamswilderness #castlecragswilderness #buckslakewilderness #granitechiefwilderness #marblemountainwilderness #diamondpeakwilderness #mountthielsenwilderness #mountwashingtonwilderness #mokolumnewilderness
2113196371696870158,B1TlOdjouMO,50024622,384,1566132659,"['#trektheAT', '#appalachiantrail', '#thetrek', '#georgiatomaine', '#atnobo2018', '#atthruhike', '#trekking', '#nopainnomaine', '#appalachiantrials', '#thruhike', '#at2018', '#appalachiantrail2019', '#onthisday']","A year ago I wrote a tiny page for my country and, most importantly, I added a huge chapter in my book of life.<br>I started this adventure as a guy with many unanswered questions and few solid certainties. I ended as a man who faces fears, dreams big and is curious enough to discover what’s beyond his limits.<br>That’s why today I carry this experience with deep love but also with an understanding that memories are great only if we build on them, because the future offers endless blank pages awaiting to be filled with amazing stories.<br>Thank you, Appalachian Trail ❤️<br>•<br>•<br>•<br>#trektheAT #appalachiantrail #thetrek #georgiatomaine #atnobo2018 #atthruhike #trekking #nopainnomaine #appalachiantrials #thruhike #at2018 #appalachiantrail2019 #onthisday"
2091461083633548387,B0GXMZHh_xj,8587002254,76,1563541611,"['#appalachiantrail2018', '#appalachiantrail', '#atnobo2018', '#atnobo', '#georgiatomaine', '#thruhike', '#throughhike', '#backpacking', '#dirtbaglife', '#hikertrash', '#hikerlife', '#adventure', '#explore', '#wander', '#wanderlust', '#longdistancehiking', '#hikingviews', '#hikingtime', '#idhikethat', '#thetrek', '#optoutside', '#whiteblaze', '#appalachianmountains', '#appalachian', '#mountainlife', '#hiking', '#ilovehiking', '#katadhin']","To stand atop this mountain changed my life forever. 7/19/2018<br>.<br>.<br>It created a vision of possibility which has made civilized reality tough to swallow. It empowered independence and tribe in me simultaneously. It highlighted the importance of simplicity, faith and novelty as a recipe for my own happiness. It did soo much while doing soo little, implying that the real changes happened within.<br>.<br>. <br>It's been one helluva year since this day, and in honesty it hasn't been all good. Post trail depression is real. Feeling helpless in a crumbling world after having been shown the steady symbiosis of nature. Confronted with the unsustainable pillage of our natural lands and the artificial identities we're promoted to assume. It's hard to come back and pretend like everything is okay. I have a home and a job, I have abundant food and potable water, but what are the impacts of these blessings?<br>.<br>.<br>Thruhiking was a gift which shattered some paradigms and reinforced others. Its given me tools to navigate the internal landscape, and in soo many ways has enriched my life. But I wanted to be real today, it wasn't all great. I smiled on that summit with joy of accomplishment, while battling the sinking feeling of having to reenter a society I dont agree with. To thruhike perpetually would be to avoid reality, but I struggle with how to integrate these two worlds...<br>.<br>.<br>.<br>.<br>.<br>.<br>.<br>.<br>#appalachiantrail2018 #appalachiantrail #atnobo2018 #atnobo #georgiatomaine #thruhike #throughhike #backpacking #dirtbaglife #hikertrash #hikerlife #adventure #explore #wander #wanderlust #longdistancehiking #hikingviews #hikingtime #idhikethat #thetrek #optoutside #whiteblaze #appalachianmountains #appalachian_explorers #mountainlife #hiking #ilovehiking #katadhin"
