Post_ID,Post_Code,Owner_ID,Likes,Time_Stamp,Tags,Caption
2580339862491434202,CPPNW8HlQza,1914621601,115,1621820503,"['#appalachiantrail', '#thruhike', '#adventure', '#sheexplores', '#nature', '#trektheat', '#easterncontinentaltrail', '#trailmagic', '#hikingcommunity', '#thruhikingwomen', '#womenwhothruhike', '#ineedapool', '#atsobo2019', '#atnobo2021', '#livinonaprayer']","Made it into New York! 🥳 <br>☀️ ⛰ 🥵 <br>Luckily, my friend came out to join us for the weekend bringing trail magic and good company! <br>Cold drinks, snacks, town camping, good beer, drive ins and Bon Jovi. What a life. <br>Thank you, D Day! <br><br>#appalachiantrail #thruhike #adventure #sheexplores #nature #trektheat #easterncontinentaltrail #trailmagic #hikingcommunity #thruhikingwomen #womenwhothruhike #ineedapool #atsobo2019 #atnobo2021 #livinonaprayer"
2447820048141967014,CH4Z11blN6m,14111978880,20,1606022910,"['#atsobo', '#thruhike', '#sobo2019', '#atsobo2019', '#mtkatahdin', '#appalachiantrail', '#withguthook', '#sobo', '#soboornogo', '#procreate', '#womenindesign', '#procreateartist', '#graphicdesign']","Feels like a lifetime ago that I was standing on Mt. Katahdin lookin at the sign that said “Springer Mountain, Georgia 2,192 mi” and thinking “lmao that can’t actually be possible” but a year ago today I stood on top of Springer and officially became a thru hiker !!! Yew!⁣<br>⁣<br>And today I learned that an excessive amount of rocks are almost as hard to draw as they are to hike over 🤠⁣<br>⁣<br>⁣<br>⁣<br>⁣<br>#atsobo #thruhike #sobo2019 #atsobo2019 #mtkatahdin #appalachiantrail #withguthook #sobo #soboornogo #procreate #womenindesign #procreateartist #graphicdesign"
2433656457590549054,CHGFad0BSo-,19828563,68,1604334479,"['#appalachiantrail', '#thruhiker', '#southbound', '#sobo2019', '#atthruhike', '#hikevirginia', '#explorevirginia', '#macafeesknob', '#engagement', '#withguthook', '#hike', '#adventure', '#hikeyourownhike', '#atsobo2019', '#atsobo', '#guthookguides', '#appalachiantrailsouthbound', '#mainetogeorgia', '#hikinghome', '#optoutside']",One year ago today Justin gave me the biggest surprise of my life ♥️<br>.<br>.<br>.<br>.<br>.<br>.<br>#appalachiantrail #thruhiker #southbound #sobo2019 #atthruhike #hikevirginia #explorevirginia #macafeesknob #engagement #withguthook #hike #adventure #hikeyourownhike #atsobo2019 #atsobo #guthookguides #appalachiantrailsouthbound #mainetogeorgia #hikinghome #optoutside
2416235442627412101,CGIMVVThACF,19828563,52,1602257732,"['#anniversary', '#engagement', '#appalachiantrail', '#southbound', '#atsobo2019', '#thruhiker', '#vermont', '#hikevermont', '#explorevermont', '#optoutside', '#withguthook', '#sobo', '#at', '#sunset', '#mtkillington', '#killingtonpeak', '#appalachiantrailsouthbound2019', '#explore', '#hike', '#adventure']","Today marks six years of loving you, and only one year left until our wedding day. Happy anniversary, @just_in_parks ♥️<br>.<br>.<br>.<br>.<br>.<br>.<br>#anniversary #engagement #appalachiantrail #southbound #atsobo2019 #thruhiker #vermont #hikevermont #explorevermont #optoutside #withguthook #sobo #at #sunset #mtkillington #killingtonpeak #appalachiantrailsouthbound2019 #explore #hike #adventure"
2400611828930861091,CFQr71LBlgj,19828563,59,1600395252,"['#happybirthday', '#appalachiantrail', '#at2019', '#southbound', '#thruhiker', '#granitegear', '#birthday', '#virginia', '#hikevirginia', '#explorevirginia', '#explore', '#adventure', '#atsobo2019', '#atsobo', '#optoutside', '#withguthook', '#shenandoahnationalpark', '#hike', '#blueblaze']","Happy birthday to you, my love! <br>(That pack looks real nice but I’m super excited that you get to join the hyperlite fam now 😜)<br>.<br>.<br>.<br>.<br>.<br>.<br>#happybirthday #appalachiantrail #at2019 #southbound #thruhiker #granitegear #birthday #virginia #hikevirginia #explorevirginia #explore #adventure #atsobo2019 #atsobo #optoutside #withguthook #shenandoahnationalpark #hike #blueblaze"
2347488391614067771,CCT9EEwgnQ7,32858475,48,1594062445,"['#appalachiantrail', '#atsobo', '#atsobo2019', '#thruhiker', '#thruhike', '#reminiscing', '#mosquitos', '#100milewilderness', '#maine', '#hikertrash', '#womenwhohike', '#hikemaine', '#getoutside']","This is the only photo I took on July 6th 2019, but she sure is a beauty! This night we ended up camped on a little beach near some public lands camping area. It was a beautiful spot but never again will I camp right next to water in July in Maine. As soon as dusk hit the mosquitos were out in a thick deafening cloud. Even with 100% deet they would find the tiny spot you missed and chew it up. Once inside our tent they couldn't bite anymore but the cuben fiber material just amplified their high pitched buzzing. Going out to pee later on in the night was one of the scarier moments of the whole hike 😅 <br>#appalachiantrail #atsobo #atsobo2019 #thruhiker #thruhike #reminiscing #mosquitos #100milewilderness #maine #hikertrash #womenwhohike #hikemaine #getoutside"
2346825123665557141,CCRmQQWDDaV,32858475,72,1593983377,"['#appalachiantrail', '#atsobo', '#atsobo2019', '#thruhiker', '#thruhike', '#100milewilderness', '#hikertrash', '#privies']","Y'all the privies in Maine were wonderful. It was strange starting out so pampered by the nice kept up poop sheds. They just kept going downhill the further south we went 😅 I think this one was at Antlers campsite in the 100 Mile Wilderness, correct me if I'm mistaken! That campsite was phenomenal. It was a clear breezy night so we set up in the little site at the end of the point and opened up the tent so the breeze came through off the water all night. It was magical 💚 #appalachiantrail #atsobo #atsobo2019 #thruhiker #thruhike #100milewilderness #hikertrash #privies"
2346123467684619870,CCPGt0SjKZe,32858475,65,1593899733,"['#bittersweet', '#appalachiantrail', '#atsobo2019', '#atsobo', '#at2019', '#thruhiker', '#hikertrash', '#thruhike', '#reminiscing', '#wanderlust', '#takemeback', '#stillcantbelieveididthat']","Sunset at Rainbow Lake campsite in the 100 Mile Wilderness last 4th of July. Wishing I was back out in the peace and quiet of the woods in Maine with only the loons singing their song all night. No loud fireworks and boisterous parties, just a couple of just-beginning thru hikers and some chill section hikers enjoying the beautiful wilderness of this country we call home (for better or for worse).<br><br>#bittersweet #appalachiantrail #atsobo2019 #atsobo #at2019 #thruhiker #hikertrash #thruhike #reminiscing #wanderlust #takemeback #stillcantbelieveididthat"
2344836310688867757,CCKiDN7DCWt,32858475,142,1593746292,"['#appalachiantrail', '#atsobo2019', '#at2019', '#thruhiker', '#hikertrash', '#womenwhohike', '#kathadin', '#missitsomuch', '#ineedahike']",One year ago today was the first day of the best thing I ever did <br>#appalachiantrail #atsobo2019 #at2019 #thruhiker #hikertrash #womenwhohike #kathadin #missitsomuch #ineedahike
2338852118309384536,CB1RZweADFY,3781827133,51,1593032921,"['#atsobo2019', '#atsobo', '#at', '#atthruhiker', '#at2020thruhike', '#atnobo2020', '#atthruhike2019', '#atthruhike2020', '#atclassof2020', '#atwomen', '#at2020', '#atclassof2021', '#veganathletes', '#athlete', '#appalachiantrail', '#appalachiantrail2020', '#appalachian', '#appalaciantrail', '#appalachianhikers', '#athelete', '#atheletes', '#atheletic', '#fkt', '#kristianultra', '#boomerstillblooming']","A big shout out to all of you that had to cancel your hike this year. We were due to start a record attempt on the AT in July but had to postpone until next June. I’ve started a Facebook group that you’re more than welcome to join. <br>APPALACHIAN TRAIL 2021 FKT ATTEMPT<br><br>On approximately June 1st 2021 Kristian will attempt to break the world record on the iconic Appalachian Trail. His chief crew will be Sharon  Mullan who will be in charge of nutrition, logistics and driving to various meet points to resupply and refuel Kristian along the way.  In the lead up to this attempt, we'll be selecting a small group of pacers, and crew that may be interested in joining us along the way. If you feel this could be something you’re interested in then please feel free to contact Sharon, who will get back to you ASAP.  There are so many things to consider on an attempt of this magnitude, If you have experiences or information that you may like to share then please feel free to do so. All of your support is welcome.  Happy to have you join us on our year of preparation...<br>#atsobo2019 #atsobo #at #atthruhiker #at2020thruhike #atnobo2020 #atthruhike2019 #atthruhike2020 #atclassof2020 #atwomen #at2020 #atclassof2021 #veganathletes #athlete #appalachiantrail #appalachiantrail2020 #appalachian #appalaciantrail #appalachianhikers #athelete #atheletes #atheletic #fkt #@kristianultra #kristianultra #boomerstillblooming"
