Post_ID: 2767968078367702428	|Post_Code: CZpzE1Muj2c	|Place_Name: Pine Grove Furnace State Park	|Short_Name: Pine Grove Furnace State Park	|Place_ID: 2002366193359721	|Address: 1100 Pine Grove Rd	|City: Gardners, Pennsylvania	|Latitude: 40	|Longitude: -77
Post_ID: 2767966110693950470	|Post_Code: CZpyoMqO4QG	|Place_Name: Appalachian Trail, Dragon's Tooth	|Short_Name: Appalachian Trail	|Place_ID: 193961803948761	|Address: Catawba Valley Dr	|City: Catawba, VA	|Latitude: 37	|Longitude: -80
Post_ID: 2767959967547085750	|Post_Code: CZpxOzaJVO2	|Place_Name: Mary's Rock	|Short_Name: Mary's Rock	|Place_ID: 139010732784484	|Address: 	|City: 	|Latitude: 38	|Longitude: -78
Post_ID: 2767947661274650535	|Post_Code: CZpubuTJhen	|Place_Name: The Not So Empty Nest	|Short_Name: The Not So Empty Nest	|Place_ID: 991215030931717	|Address: 1209 Broadway	|City: Bangor, Maine	|Latitude: 44	|Longitude: -68
Post_ID: 2767947245058575314	|Post_Code: CZpuVqqvMvS	|Place_Name: Long Creek Falls	|Short_Name: Long Creek Falls	|Place_ID: 1657335174539671	|Address: 	|City: Three Forks, Georgia	|Latitude: 34	|Longitude: -84
Post_ID: 2767939428167689085	|Post_Code: CZpsj6nu6N9	|Place_Name: Annapolis Rocks	|Short_Name: Annapolis Rocks	|Place_ID: 159401538334214	|Address: South Mountain State Park	|City: Hagerstown, Maryland	|Latitude: 39	|Longitude: -77
Post_ID: 2767938098881194806	|Post_Code: CZpsQkoFWs2	|Place_Name: Stairway To Heaven-Appalachian Trail	|Short_Name: Stairway To Heaven-Appalachian Trail	|Place_ID: 499548970376880	|Address: 	|City: Vernon Twp, NJ	|Latitude: 41	|Longitude: -74
Post_ID: 2767937278560255984	|Post_Code: CZpsEopJT_w	|Place_Name: Tinker Cliffs	|Short_Name: Tinker Cliffs	|Place_ID: 324726450959919	|Address: 	|City: 	|Latitude: 37	|Longitude: -79
Post_ID: 2767936596489951866	|Post_Code: CZpr6tallp6	|Place_Name: Shenandoah National Park	|Short_Name: Shenandoah National Park	|Place_ID: 197375046954591	|Address: 	|City: 	|Latitude: 38	|Longitude: -78
Post_ID: 2767934098513554445	|Post_Code: CZprWW_l2wN	|Place_Name: Newfound Gap, Great Smoky Mountains	|Short_Name: Newfound Gap	|Place_ID: 187146994632286	|Address: 	|City: Pigeon Forge, Tennessee	|Latitude: 35	|Longitude: -83
Post_ID: 2767933740824773442	|Post_Code: CZprRJ3rcNC	|Place_Name: Appalachian Trail Blue Mountain	|Short_Name: Appalachian Trail Blue Mountain	|Place_ID: 347953502347928	|Address: 	|City: 	|Latitude: 40	|Longitude: -76
Post_ID: 2767912872971891305	|Post_Code: CZpmhfKuHJp	|Place_Name: Paine Mountain Norwich University	|Short_Name: Paine Mountain Norwich University	|Place_ID: 322939504452571	|Address: 	|City: 	|Latitude: 44	|Longitude: -72
Post_ID: 2767904973224628598	|Post_Code: CZpkuh9F1F2	|Place_Name: Amicalola Falls	|Short_Name: Amicalola Falls	|Place_ID: 108259619204806	|Address: 	|City: 	|Latitude: 34	|Longitude: -84
Post_ID: 2767899335637316586	|Post_Code: CZpjcfis7Pq	|Place_Name: Madison County	|Short_Name: Madison County	|Place_ID: 139228459439392	|Address: 	|City: Madison County, North Carolina	|Latitude: 35	|Longitude: -82
Post_ID: 2767893961969529826	|Post_Code: CZpiOS7JHPi	|Place_Name: The Not So Empty Nest	|Short_Name: The Not So Empty Nest	|Place_ID: 991215030931717	|Address: 1209 Broadway	|City: Bangor, Maine	|Latitude: 44	|Longitude: -68
Post_ID: 2767888961469089850	|Post_Code: CZphFh2Fwg6	|Place_Name: Cowrock Mountain	|Short_Name: Cowrock Mountain	|Place_ID: 135413453158241	|Address: 	|City: 	|Latitude: 34	|Longitude: -83
Post_ID: 2767868705942960448	|Post_Code: CZpcexapnlA	|Place_Name: Blood Mountain, GA - Appalachian Trail	|Short_Name: Blood Mountain	|Place_ID: 180293245347651	|Address: 	|City: Blairsville, GA	|Latitude: 34	|Longitude: -83
Post_ID: 2767846868627189800	|Post_Code: CZpXg_1M3Ao	|Place_Name: Campo Dell'osso - Monte Livata	|Short_Name: Campo Dell'osso - Monte Livata	|Place_ID: 100264502100491	|Address: 	|City: 	|Latitude: 41	|Longitude: 13
