Post_ID: 2767968078367702428	|Post_Code: CZpzE1Muj2c	|Place_Name: Pine Grove Furnace State Park	|Short_Name: Pine Grove Furnace State Park	|Place_ID: 2002366193359721	|Address: 1100 Pine Grove Rd	|City: Gardners, Pennsylvania	|Latitude: 40.0330199831	|Longitude: -77.3045039177
Post_ID: 2767966110693950470	|Post_Code: CZpyoMqO4QG	|Place_Name: Appalachian Trail, Dragon's Tooth	|Short_Name: Appalachian Trail	|Place_ID: 193961803948761	|Address: Catawba Valley Dr	|City: Catawba, VA	|Latitude: 37.3608987861	|Longitude: -80.1734750603
Post_ID: 2767959967547085750	|Post_Code: CZpxOzaJVO2	|Place_Name: Mary's Rock	|Short_Name: Mary's Rock	|Place_ID: 139010732784484	|Address: [Null]	|City: [Null]	|Latitude: 38.6503	|Longitude: -78.3178
Post_ID: 2767947661274650535	|Post_Code: CZpubuTJhen	|Place_Name: The Not So Empty Nest	|Short_Name: The Not So Empty Nest	|Place_ID: 991215030931717	|Address: 1209 Broadway	|City: Bangor, Maine	|Latitude: 44.8392338868	|Longitude: -68.7935849359
Post_ID: 2767947245058575314	|Post_Code: CZpuVqqvMvS	|Place_Name: Long Creek Falls	|Short_Name: Long Creek Falls	|Place_ID: 1657335174539671	|Address: [Null]	|City: Three Forks, Georgia	|Latitude: 34.6676479857	|Longitude: -84.1708169327
Post_ID: 2767939428167689085	|Post_Code: CZpsj6nu6N9	|Place_Name: Annapolis Rocks	|Short_Name: Annapolis Rocks	|Place_ID: 159401538334214	|Address: South Mountain State Park	|City: Hagerstown, Maryland	|Latitude: 39.5584188623	|Longitude: -77.5986830692
Post_ID: 2767938098881194806	|Post_Code: CZpsQkoFWs2	|Place_Name: Stairway To Heaven-Appalachian Trail	|Short_Name: Stairway To Heaven-Appalachian Trail	|Place_ID: 499548970376880	|Address: [Null]	|City: Vernon Twp, NJ	|Latitude: 41.2136549464	|Longitude: -74.4451249251
Post_ID: 2767937278560255984	|Post_Code: CZpsEopJT_w	|Place_Name: Tinker Cliffs	|Short_Name: Tinker Cliffs	|Place_ID: 324726450959919	|Address: [Null]	|City: [Null]	|Latitude: 37.4375897598	|Longitude: -79.9992715495
Post_ID: 2767936596489951866	|Post_Code: CZpr6tallp6	|Place_Name: Shenandoah National Park	|Short_Name: Shenandoah National Park	|Place_ID: 197375046954591	|Address: [Null]	|City: [Null]	|Latitude: 38.3136459917	|Longitude: -78.6785888672
Post_ID: 2767934098513554445	|Post_Code: CZprWW_l2wN	|Place_Name: Newfound Gap, Great Smoky Mountains	|Short_Name: Newfound Gap	|Place_ID: 187146994632286	|Address: [Null]	|City: Pigeon Forge, Tennessee	|Latitude: 35.6107483027	|Longitude: -83.4253458096
Post_ID: 2767933740824773442	|Post_Code: CZprRJ3rcNC	|Place_Name: Appalachian Trail Blue Mountain	|Short_Name: Appalachian Trail Blue Mountain	|Place_ID: 347953502347928	|Address: [Null]	|City: [Null]	|Latitude: 40.5005176	|Longitude: -76.1860323
